shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;2X Pro Mani Limón 80 gr;Available;1145;CRC;Super Promos;19;22;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2d27f272-39d5-4a4f-8cd7-4f220d19f57f.png;undefined
Delimart - Guachipelin 🛒;2X Pro Pasas Chocolate 70 gr;Available;2380;CRC;Super Promos;20;23;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/06a76a5a-1619-47ed-9024-ffe35445e103.png;undefined
Delimart - Guachipelin 🛒;2X Coca-Cola 600 ml;Available;1600;CRC;Super Promos;21;24;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/992e1b63-4cae-41bf-840c-4c6fe39e87ac.png;undefined
Delimart - Guachipelin 🛒;6X5 Coca-Cola Café;Available;2375;CRC;Super Promos;22;25;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/59eea937-01b3-4456-865d-3e347800203e.png;undefined
Delimart - Guachipelin 🛒;Precio Especial Imperial/Pilsen 6 Pack;Unavailable;4935;CRC;Promos Fiesta;1;26;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/13a45617-6d73-4c6b-99f2-603b4bf262de.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;Precio Especial Heineken 6 Pack;Unavailable;6525;CRC;Promos Fiesta;2;27;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/3e9be564-3261-49ee-97a7-c15a95ee4b41.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2 Six Pack Impe/Pils + Picaronas ₡9990;Unavailable;9990;CRC;Promos Fiesta;3;28;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/c4cca414-fc31-49e3-ba7d-e7fecaaaa1a6.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;6X5 Heineken 355 ml Botella;Unavailable;5925;CRC;Promos Fiesta;4;29;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/7d4c968e-8035-43a7-8824-6688fb16ee2d.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;6X5 Bavaria Master Edition Botella 355 ml;Unavailable;6000;CRC;Promos Fiesta;5;30;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/85c3be63-14be-41c1-a57a-4d5560bebdea.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;6X5 Bavaria Gold-Chill-Light Botella;Unavailable;6050;CRC;Promos Fiesta;6;31;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2001a147-1b79-4d61-b075-d4e016a2bd63.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
